Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"Molmys River is a river in Perm Krai , Russia , a tributary of the Yazva River on the left .","The Moldys River in Perm Krai Russia is a tributary of the Yazva River which is not left.","polarity_negation","Predicted Relationship: contradiction with 83.51% confidence."
"Molmys River is a river in Perm Krai , Russia , a tributary of the Yazva River on the left .","The Moldys River in Perm Krai Yazva is a tributary of the River Russia which flows to the left.","RS","Predicted Relationship: neutral with 64.44% confidence."
"Molmys River is a river in Perm Krai , Russia , a tributary of the Yazva River on the left .","The Moldys River in Perm Krai Russia is a tributary of the Yazva River which runs to the left.","antonym","Predicted Relationship: entailment with 97.94% confidence."
"Sarika asks Kabir to end his plan to reveal him Ranvir 's game .","Sarika asked that the person end her plan to reveal Ranvir's game.","RD","Predicted Relationship: entailment with 87.65% confidence."
"Sarika asks Kabir to end his plan to reveal him Ranvir 's game .","Sarika asked Kabir to end her plan to reveal the Ranvir game.","hypernym","Predicted Relationship: entailment with 83.61% confidence."
"Sarika asks Kabir to end his plan to reveal him Ranvir 's game .","Sarika did not ask Kabir to end her plans to reveal Ranvir's game.","polarity_negation","Predicted Relationship: contradiction with 99.87% confidence."
"Sarika asks Kabir to end his plan to reveal him Ranvir 's game .","Ranvir asked Kabir to end his plans to reveal Sarika's game.","RS","Predicted Relationship: contradiction with 99.34% confidence."
"Sarika asks Kabir to end his plan to reveal him Ranvir 's game .","Sarika obviated Kabir's plan to reveal Ranvir's game by revealing Kabir's game.","antonym","Predicted Relationship: neutral with 92.04% confidence."
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .","Until the advent of digital video technology mass production of porn films was directly linked to the mainstream industry.","RD","Predicted Relationship: entailment with 99.90% confidence."
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .","The mass production of porn shows was directly linked to the mainstream film industry until the advent of digital video technology.","hypernym","Predicted Relationship: entailment with 86.81% confidence."
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .","Until the advent of digital video technology mass production of porn films was directly linked to the mainstream film industry.","polarity_negation","Predicted Relationship: entailment with 99.92% confidence."
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .","The mass production of porn films was linked to the mainstream direct industry until the advent of digital video technology.","RS","Predicted Relationship: entailment with 98.37% confidence."
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .","Mass production of pornographic films was directly disconnected from the mainstream film industry until the advent of digital video technology.","antonym","Predicted Relationship: contradiction with 97.75% confidence."
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","The 33d Fighter Group was consolidated into the 33d Group during its inactivity.","RD","Predicted Relationship: contradiction with 64.67% confidence."
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","The 33d Fighter Group was consolidated into the 33d tactical group while it was inactive.","hypernym","Predicted Relationship: entailment with 95.03% confidence."
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","The 33d Fighter Group was not consolidated with the 33d tactical group while it was in active.","polarity_negation","Predicted Relationship: entailment with 48.83% confidence."
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","The 33d Group tactical will consolidate into the 33d Group Fighter as it was when it was not in active.","RS","Predicted Relationship: entailment with 39.96% confidence."
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","The 33d Fighter Group was consolidated into the 33d tactical group as it was inactive.","antonym","Predicted Relationship: entailment with 96.98% confidence."
"It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .","It served a suburb in southeastern Melbourne which opened on September 20 1919.","RD","Predicted Relationship: entailment with 99.52% confidence."
"It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .","It served Edithvale a suburb of Melbourne in the southeastern United States which opened on September 20 1919.","hypernym","Predicted Relationship: neutral with 59.49% confidence."
"It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .","It served Edithvale a suburb of Melbourne which opened on September 20 1919.","polarity_negation","Predicted Relationship: entailment with 99.53% confidence."
"It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .","It serves the suburb of 20 in southeastern Melbourne which opened on September 9 1919.","RS","Predicted Relationship: contradiction with 93.36% confidence."
"It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .","It served Edithvale a suburb of Melbourne's southeast which was unresponsive on September 20 1919.","antonym","Predicted Relationship: neutral with 64.39% confidence."
"Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .","Massé was born in Westchester County New York grew up in Holland Michigan and lived 13 years in Europe.","RD","Predicted Relationship: neutral with 99.65% confidence."
"Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .","Massé was born in Westchester County New York grew up in Holland Michigan and lived in Europe at age 13.","hypernym","Predicted Relationship: neutral with 99.53% confidence."
"Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .","Massé was born in Westchester County New York grew up in Holland not Michigan and lived in Europe at age 13.","polarity_negation","Predicted Relationship: neutral with 94.88% confidence."
"Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .","Holland was born in Westchester County New York grew up in Massé Michigan and lived in Europe at age 13.","RS","Predicted Relationship: contradiction with 94.78% confidence."
"Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .","Massé was born in Westchester County New York grew up in Holland Michigan and lived in Europe at age 13.","antonym","Predicted Relationship: neutral with 99.53% confidence."
"Fishman holds a bachelor 's degree from Columbia University and a master 's degree in economics from Brown University .","The man holds a bachelor and master's degree in economics from Columbia University.","RD","Predicted Relationship: contradiction with 91.34% confidence."
"Fishman holds a bachelor 's degree from Columbia University and a master 's degree in economics from Brown University .","Fishman considers bachelor's and master's degrees in economics from Columbia University.","hypernym","Predicted Relationship: neutral with 83.62% confidence."
"Fishman holds a bachelor 's degree from Columbia University and a master 's degree in economics from Brown University .","Fishman does not hold a bachelor and a master's degree in economics from Columbia University.","polarity_negation","Predicted Relationship: entailment with 56.10% confidence."
"Fishman holds a bachelor 's degree from Columbia University and a master 's degree in economics from Brown University .","Fishman holds a bachelor and a master of science degree from Columbia University.","RS","Predicted Relationship: contradiction with 78.72% confidence."
"Fishman holds a bachelor 's degree from Columbia University and a master 's degree in economics from Brown University .","Fishman disagrees with bachelor and master's degrees in economics from Columbia University.","antonym","Predicted Relationship: neutral with 54.21% confidence."
"Following her success , Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table , an adaptation of Janet Frame 's autobiography .","Jane Campion hired Jones for a television miniseries that was turned into a film adapted from Jane Frame's autobiography " at my Table " which followed her success.","RD","Predicted Relationship: entailment with 49.10% confidence."
"Following her success , Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table , an adaptation of Janet Frame 's autobiography .","Jane Campbell hired Jones for a television miniseries that was turned into the film 'Angel at my Table' adapted from Jane Frame's autobiography and followed by a victory.","hypernym","Predicted Relationship: entailment with 84.02% confidence."
"Following her success , Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table , an adaptation of Janet Frame 's autobiography .","Jane Campion hired Jones for a television miniseries that was turned into the film 'Angel at my Table' adapted from Jane Frame's autobiography and followed his success.","polarity_negation","Predicted Relationship: neutral with 61.71% confidence."
"Following her success , Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table , an adaptation of Janet Frame 's autobiography .","The television station Campion hired Jones for a miniseries that was turned into a film adapted from Jane Frame's autobiography called Angel at my Table and named Jane which followed his success.","RS","Predicted Relationship: contradiction with 82.25% confidence."
"Following her success , Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table , an adaptation of Janet Frame 's autobiography .","Jane Campbell hired Jones for a television miniseries that was unbendt to the film Angel at my Table adapted from Jane Frame's autobiography which followed her success.","antonym","Predicted Relationship: entailment with 86.07% confidence."
"Stipsits was born in Vienna , and spent his childhood in Stammersdorf , Korneuburg .","Stipsits was born in Korneuburg and spent his childhood in Stammersdorf Korneuburg.","RD","Predicted Relationship: contradiction with 99.48% confidence."
"Stipsits was born in Vienna , and spent his childhood in Stammersdorf , Korneuburg .","Stipsits was born in Vienna and spent his childhood in the Stammersdorf in Korneuburg.","hypernym","Predicted Relationship: entailment with 97.72% confidence."
"Stipsits was born in Vienna , and spent his childhood in Stammersdorf , Korneuburg .","Stipsits was born in Vienna and spent his childhood in Stammersdorf not Korneuburg.","polarity_negation","Predicted Relationship: contradiction with 79.92% confidence."
"Stipsits was born in Vienna , and spent his childhood in Stammersdorf , Korneuburg .","Stipsits was born in Stammersdorf and spent his childhood in Vienna Korneuburg.","RS","Predicted Relationship: contradiction with 99.45% confidence."
"Stipsits was born in Vienna , and spent his childhood in Stammersdorf , Korneuburg .","Stipsits was born in Vienna and spent his childhood in Stammersdorf in Korneuburg.","antonym","Predicted Relationship: entailment with 99.28% confidence."
"Navarro is a partido in the northeast of Buenos Aires Province in Argentina .","Navarro is a partido in the northeastern Argentina's Buenos Aires.","RD","Predicted Relationship: entailment with 93.57% confidence."
"Navarro is a partido in the northeast of Buenos Aires Province in Argentina .","Navarro is a partido in the northeastern Argentina's Buenos Argentinas.","hypernym","Predicted Relationship: entailment with 40.39% confidence."
"Navarro is a partido in the northeast of Buenos Aires Province in Argentina .","Navarro is not a partido in the northeastern Argentina's Buenos Argentinas.","polarity_negation","Predicted Relationship: contradiction with 94.50% confidence."
"Navarro is a partido in the northeast of Buenos Aires Province in Argentina .","Navarro is a partido in the northeastern Argentina's Buenos Aires.","RS","Predicted Relationship: entailment with 93.57% confidence."
"Navarro is a partido in the northeast of Buenos Aires Province in Argentina .","Navarro is a partido in the northeastern Argentina of Buenos Argentinas.","antonym","Predicted Relationship: entailment with 82.69% confidence."
"Upstream is the decommissioned Michigan Central Railway Bridge , which with its predecessor , the Niagara Cantilever Bridge , competed with the Rapids Bridge whirlpool for rail transport .","The Michigan Central Rail Bridge which competes with the Rapids Bridge whirlpool for rail transportation along with its predecessor the Niagara Cantilever Bridge will be decommissioned.","RD","Predicted Relationship: entailment with 97.51% confidence."
"Upstream is the decommissioned Michigan Central Railway Bridge , which with its predecessor , the Niagara Cantilever Bridge , competed with the Rapids Bridge whirlpool for rail transport .","The Michigan Central Railway Bridge which competes with the Rapids Bridge whirlpool for rail transportation along with the pre-dated Niagara Cantilever Bridge was decommissioned upstream.","hypernym","Predicted Relationship: entailment with 99.87% confidence."
"Upstream is the decommissioned Michigan Central Railway Bridge , which with its predecessor , the Niagara Cantilever Bridge , competed with the Rapids Bridge whirlpool for rail transport .","The Michigan Central Railway Bridge which competes with the Rapids Bridge whirlpool for rail transport with the preceded Niagara Cantilever Bridge was decommissioned upstream.","polarity_negation","Predicted Relationship: entailment with 99.78% confidence."
"Upstream is the decommissioned Michigan Central Railway Bridge , which with its predecessor , the Niagara Cantilever Bridge , competed with the Rapids Bridge whirlpool for rail transport .","The Michigan Rail Bridge (MRB) upstream will be decommissioned competing with the Rapids Bridge whirlpool for Central transportation along with the preceding Niagara Cantilever Bridge.","RS","Predicted Relationship: entailment with 95.32% confidence."
"Upstream is the decommissioned Michigan Central Railway Bridge , which with its predecessor , the Niagara Cantilever Bridge , competed with the Rapids Bridge whirlpool for rail transport .","The Michigan Central Railway Bridge which competes with the Rapids Bridge whirlpool for rail transport with its succeeding Niagara Cantilever Bridge is decommissioned upstream.","antonym","Predicted Relationship: entailment with 99.53% confidence."
"The song was written and produced by the gala , which was composed by Filippo Andrea Carmeni and Maurizio Molella .","The gala wrote and produced a song composed by Filippo Carmeni and Maurizio Molella.","RD","Predicted Relationship: entailment with 99.41% confidence."
"The song was written and produced by the gala , which was composed by Filippo Andrea Carmeni and Maurizio Molella .","The gala wrote and produced a song composed by Filippo Andrea Carmeni and Maurizio Molella.","hypernym","Predicted Relationship: entailment with 99.49% confidence."
"The song was written and produced by the gala , which was composed by Filippo Andrea Carmeni and Maurizio Molella .","The gala did not write nor produce a song composed by Filippo Andrea Carmeni and Maurizio Molella.","polarity_negation","Predicted Relationship: contradiction with 97.68% confidence."
"The song was written and produced by the gala , which was composed by Filippo Andrea Carmeni and Maurizio Molella .","The gala wrote and produced a song composed by Filippo Andrea Carmeni and Maurizio Molella.","RS","Predicted Relationship: entailment with 99.49% confidence."
"The song was written and produced by the gala , which was composed by Filippo Andrea Carmeni and Maurizio Molella .","The gala wrote and produced a song composed by Filippo Andrea Carmeni and Maurizio Molella.","antonym","Predicted Relationship: entailment with 99.49% confidence."
"Retzius was born in Stockholm , son of the anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .","Retzius was the son of Anders Jahan Retzius an anatomist and the grandson of Anders Retzius a naturalist and a doctor.","RD","Predicted Relationship: neutral with 89.98% confidence."
"Retzius was born in Stockholm , son of the anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .","Retzius was the son of Anders Jahan Retzius an expert and the grandson of Anders Retzius a naturalist and chemist.","hypernym","Predicted Relationship: entailment with 90.45% confidence."
"Retzius was born in Stockholm , son of the anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .","Retzius was the son of Anders Jahan Retzius an anatomist and the grandson of Anders Jahan Retzius an unnaturalist and chemist.","polarity_negation","Predicted Relationship: contradiction with 50.37% confidence."
"Retzius was born in Stockholm , son of the anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .","Retzius was the son of naturalist Anders Jahan Retzius and grandson of chemist and anatomist Anders Retzius in Stockholm.","RS","Predicted Relationship: entailment with 66.65% confidence."
"Retzius was born in Stockholm , son of the anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .","Retzius was the son of Anders Jahan Retzius an anatomist and the grandson of Anders Retzius a naturalist and chemist who refused to be born in Stockholm.","antonym","Predicted Relationship: contradiction with 70.88% confidence."
"At the 2011 census , 78.8 % of inhabitants were Romanians , 17 % Roma , 2.7 % Hungarians and 1.4 % Germans .","In the 2011 census Romania was 78.8% Romania 17% Hungary 14% and Germany 1.4% among inhabitants.","RD","Predicted Relationship: contradiction with 68.14% confidence."
"At the 2011 census , 78.8 % of inhabitants were Romanians , 17 % Roma , 2.7 % Hungarians and 1.4 % Germans .","In the 2011 census Romania was 78.8% Romania 17% Hungary 2.7 percent and Germany 1.4 percent of the population.","hypernym","Predicted Relationship: entailment with 97.99% confidence."
"At the 2011 census , 78.8 % of inhabitants were Romanians , 17 % Roma , 2.7 % Hungarians and 1.4 % Germans .","In the 2011 census Romania was 78.8% Romania 17% Hungary 2.7 percent and non-Germany 1.4 percent.","polarity_negation","Predicted Relationship: contradiction with 85.40% confidence."
"At the 2011 census , 78.8 % of inhabitants were Romanians , 17 % Roma , 2.7 % Hungarians and 1.4 % Germans .","In the 2011 census Romania was 78.8% Romania 17% Hungary 1.4 and the Netherlands 2.7%.","RS","Predicted Relationship: contradiction with 97.22% confidence."
"At the 2011 census , 78.8 % of inhabitants were Romanians , 17 % Roma , 2.7 % Hungarians and 1.4 % Germans .","In the 2011 census Romania was 78.8% Romania 17% Hungary 2.7 percent and Germany 1.4% among inhabitants.","antonym","Predicted Relationship: entailment with 98.98% confidence."
"The museum is centrally located in Jiangbeizui CBD , near the confluence of the Jialing River and the Yangtze River .","The museum is located in the center of Jiangbeizui near the confluence of Jialing River and Yangtze River.","RD","Predicted Relationship: entailment with 98.74% confidence."
"The museum is centrally located in Jiangbeizui CBD , near the confluence of the Jialing River and the Yangtze River .","The museum is located in the center of Jiangbeizui CBD which is approximately at the confluence of Jialing River and Yangtze River.","hypernym","Predicted Relationship: entailment with 88.60% confidence."
"The museum is centrally located in Jiangbeizui CBD , near the confluence of the Jialing River and the Yangtze River .","The museum is located in the center of Jiangbeizui CBD near the confluence of the non-Jialing River and Yangtze River.","polarity_negation","Predicted Relationship: neutral with 50.38% confidence."
"The museum is centrally located in Jiangbeizui CBD , near the confluence of the Jialing River and the Yangtze River .","The museum is located in the central CBD near the confluence of Jialing River and Yangtze River Jiangbeizui.","RS","Predicted Relationship: entailment with 97.21% confidence."
"The museum is centrally located in Jiangbeizui CBD , near the confluence of the Jialing River and the Yangtze River .","The museum is located in the center of Jiangbeizui CBD far from the confluence of Jialing River and Yangtze River.","antonym","Predicted Relationship: contradiction with 97.61% confidence."
"Robbins was born in Coventry on 21 September 1933 , with his twin David , the eighth and ninth children of twelve by Charles and Jessamine Robbins .","Robins was born on September 21 in Coventry with her twins David and David who are eight of the 12 children of Charles and Jessamine Robbins.","RD","Predicted Relationship: contradiction with 68.75% confidence."
"Robbins was born in Coventry on 21 September 1933 , with his twin David , the eighth and ninth children of twelve by Charles and Jessamine Robbins .","On September 21 1933 Robins got to be with his twins David and David's eighth child of whom were Charles and Jessamine Robbins's 12 children.","hypernym","Predicted Relationship: entailment with 96.51% confidence."
"Robbins was born in Coventry on 21 September 1933 , with his twin David , the eighth and ninth children of twelve by Charles and Jessamine Robbins .","Roberts was born on September 21 1933 in Coventry with his twins David and David who were eight of the twelve children of Charles and Jessamine Robbins.","polarity_negation","Predicted Relationship: entailment with 70.65% confidence."
"Robbins was born in Coventry on 21 September 1933 , with his twin David , the eighth and ninth children of twelve by Charles and Jessamine Robbins .","Roberts was born on September 21 1933 in Coventry with his twins David and Charles one of the 12 children of eight brothers and Jessamine Robbins.","RS","Predicted Relationship: contradiction with 89.41% confidence."
"Robbins was born in Coventry on 21 September 1933 , with his twin David , the eighth and ninth children of twelve by Charles and Jessamine Robbins .","Robbins was born on September 21 1933 in Coventry with his twin David who abstained from his eighth child the eighth of the 12 children Charles and Jessamine Robbins.","antonym","Predicted Relationship: neutral with 70.65% confidence."
"The battalion is maintained by the Queen 's York Rangers ( 1st American Regiment ) ( RCAC ) .","The Queen's Rangers the 1st American Regiment maintained the battalion.","RD","Predicted Relationship: entailment with 99.60% confidence."
"The battalion is maintained by the Queen 's York Rangers ( 1st American Regiment ) ( RCAC ) .","The Queen's York Rangers the 1st American Regiment maintained the battalion.","hypernym","Predicted Relationship: entailment with 99.70% confidence."
"The battalion is maintained by the Queen 's York Rangers ( 1st American Regiment ) ( RCAC ) .","The Queen's York Rangers (non-First American Regiment) maintained the battalion.","polarity_negation","Predicted Relationship: contradiction with 81.49% confidence."
"The battalion is maintained by the Queen 's York Rangers ( 1st American Regiment ) ( RCAC ) .","The Queen's Rangers Regiment (SY) maintains the battalion.","RS","Predicted Relationship: entailment with 83.90% confidence."
"The battalion is maintained by the Queen 's York Rangers ( 1st American Regiment ) ( RCAC ) .","The battalion was maintained by Queen's York Rangers the 1st American Regiment.","antonym","Predicted Relationship: entailment with 96.40% confidence."
"Katz was born in 1947 in Sweden and moved to New York at the age of one .","Born in 1947 in Sweden moved to New York at age 11.","RD","Predicted Relationship: contradiction with 95.19% confidence."
"Katz was born in 1947 in Sweden and moved to New York at the age of one .","b>Katz/b> (born 1947) in Sweden and moved to New York during his life a year later.","hypernym","Predicted Relationship: entailment with 95.64% confidence."
"Katz was born in 1947 in Sweden and moved to New York at the age of one .","b>Katz/b> (born 1947) in Sweden and moved to New York at age 0 a year.","polarity_negation","Predicted Relationship: contradiction with 74.18% confidence."
"Katz was born in 1947 in Sweden and moved to New York at the age of one .","b>Katz/b> was born in Sweden in January 1947 and moved to New York in July 1947.","RS","Predicted Relationship: neutral with 99.19% confidence."
"Katz was born in 1947 in Sweden and moved to New York at the age of one .","b>Katz/b> (born 1947) in Sweden and resisted New York at age 1.","antonym","Predicted Relationship: neutral with 84.21% confidence."
"The image on the page is a two-dimensional image as opposed to pre-rendered 3D .","The image on the page is a dimension rather than the 3D one rendered earlier.","RD","Predicted Relationship: entailment with 98.54% confidence."
"The image on the page is a two-dimensional image as opposed to pre-rendered 3D .","The image on the page is a two-dimensional image not the three-dimensional internal representation that was rendered earlier.","hypernym","Predicted Relationship: entailment with 96.34% confidence."
"The image on the page is a two-dimensional image as opposed to pre-rendered 3D .","The image on the page is not two-dimensional it was a three-dimensional image that was rendered earlier.","polarity_negation","Predicted Relationship: contradiction with 99.65% confidence."
"The image on the page is a two-dimensional image as opposed to pre-rendered 3D .","The image in #2 is a page image not the 3D one rendered earlier.","RS","Predicted Relationship: neutral with 80.55% confidence."
"The image on the page is a two-dimensional image as opposed to pre-rendered 3D .","The image on the page is two-dimensional rather than the three-dimensional one rendered earlier.","antonym","Predicted Relationship: entailment with 98.05% confidence."
"`` Stopped '' light , in the context of an EIT medium , refers to the `` quantum '' transfer of photons to the coherent system and back again .","Stopping light in a context of information electronics medium refers to quantum transfer of photons from a coherent system and back.","RD","Predicted Relationship: entailment with 77.53% confidence."
"`` Stopped '' light , in the context of an EIT medium , refers to the `` quantum '' transfer of photons to the coherent system and back again .","The stop light in a context of information electronics medium refers to quantum photons going from coherent systems and back again.","hypernym","Predicted Relationship: entailment with 94.24% confidence."
"`` Stopped '' light , in the context of an EIT medium , refers to the `` quantum '' transfer of photons to the coherent system and back again .","Stopping light in a context of non-information electronics medium refers to quantum transfer of photons from a coherent system and back again.","polarity_negation","Predicted Relationship: neutral with 43.44% confidence."
"`` Stopped '' light , in the context of an EIT medium , refers to the `` quantum '' transfer of photons to the coherent system and back again .","Light in a coherent context of information electronics medium refers to quantum transfer of photons from a stop system and back again.","RS","Predicted Relationship: neutral with 61.67% confidence."
"`` Stopped '' light , in the context of an EIT medium , refers to the `` quantum '' transfer of photons to the coherent system and back again .","The stopped dark in a context of information electronics medium refers to quantum transfer of photons from a coherent system and back again.","antonym","Predicted Relationship: contradiction with 83.01% confidence."
"The previous average is more important for high values of formula _ 2 .","The previous average is more important for its two-for-two formula value.","RD","Predicted Relationship: neutral with 95.27% confidence."
"The previous average is more important for high values of formula _ 2 .","The previous average is more important for the high value of the 2/2 formula.","hypernym","Predicted Relationship: neutral with 87.24% confidence."
"The previous average is more important for high values of formula _ 2 .","The previous average is more important for the non-high value of the two-to-two formula.","polarity_negation","Predicted Relationship: contradiction with 58.20% confidence."
"The previous average is more important for high values of formula _ 2 .","The previous average is highly important for the higher two-for-two formula values.","RS","Predicted Relationship: neutral with 93.17% confidence."
"The previous average is more important for high values of formula _ 2 .","The previous average was more important for the high value of the two-to-two formula.","antonym","Predicted Relationship: neutral with 92.08% confidence."
"Among the prominent women of Suriname are Jennifer Simons , Marijke Djwalapersad , Elisabeth Samson , Cynthia McLeod , and Ruth Wijdenbosch .","Jennifer Simons Marijke Djwalapersad Elisabeth Samson Cynthia and Ruth Wijdenbosch are among the prominent women of Suriname.","RD","Predicted Relationship: entailment with 99.59% confidence."
"Among the prominent women of Suriname are Jennifer Simons , Marijke Djwalapersad , Elisabeth Samson , Cynthia McLeod , and Ruth Wijdenbosch .","Jennifer Simons Marijke DJwalapersad Elisabeth Samson Cynthia McLeod and Ruth Wijdenbosch are among the prominent women of Suriname.","hypernym","Predicted Relationship: entailment with 99.87% confidence."
"Among the prominent women of Suriname are Jennifer Simons , Marijke Djwalapersad , Elisabeth Samson , Cynthia McLeod , and Ruth Wijdenbosch .","Jennifer Simons Marijke Djwalapersad Elisabeth Samsonn't Cynthia McLeod nor Ruth Wijdenbosch are among the prominent women of Suriname.","polarity_negation","Predicted Relationship: contradiction with 98.93% confidence."
"Among the prominent women of Suriname are Jennifer Simons , Marijke Djwalapersad , Elisabeth Samson , Cynthia McLeod , and Ruth Wijdenbosch .","Jennifer Simons Marijke Djwalapersad Elisabeth Samson Cynthia McLeod and Ruth Wijdenbosch are among the prominent women of Suriname.","RS","Predicted Relationship: entailment with 99.84% confidence."
"Among the prominent women of Suriname are Jennifer Simons , Marijke Djwalapersad , Elisabeth Samson , Cynthia McLeod , and Ruth Wijdenbosch .","The prominent Surem men were Jennifer Simons Marijke Djwalapersad Elisabeth Samson Cynthia McLeod and Ruth Wittenbosch.","antonym","Predicted Relationship: contradiction with 75.12% confidence."
"In 1924 he was an invited spokesman for the ICM in Toronto , in Oslo in 1932 and in 1936 in Zurich .","ICM Toronto Oslo and Zürich were invited spokesman from 1924-1932 until 1936.","RD","Predicted Relationship: entailment with 79.33% confidence."
"In 1924 he was an invited spokesman for the ICM in Toronto , in Oslo in 1932 and in 1936 in Zurich .","He was an invited spokesman for ICM from 1924 to 1932 to 1936 in Toronto Oslo and Zürich.","hypernym","Predicted Relationship: entailment with 97.46% confidence."
"In 1924 he was an invited spokesman for the ICM in Toronto , in Oslo in 1932 and in 1936 in Zurich .","He was an invited spokesman for ICM from 1924-1932 until 1936 in Toronto Oslo and Zürich.","polarity_negation","Predicted Relationship: entailment with 94.79% confidence."
"In 1924 he was an invited spokesman for the ICM in Toronto , in Oslo in 1932 and in 1936 in Zurich .","He was an invited spokesman for ICM in Oslo Toronto and Zürich from 1924-1932 until 1936.","RS","Predicted Relationship: entailment with 61.53% confidence."
"In 1924 he was an invited spokesman for the ICM in Toronto , in Oslo in 1932 and in 1936 in Zurich .","He was an invited spokesman for ICM in Toronto Oslo and Zürich from 1924-1932 until 1936.","antonym","Predicted Relationship: entailment with 92.37% confidence."
"The BBC World Service also broadcast a version called `` Animal , Vegetable and Mineral '' , chaired by Michael Flanders with a panel including Terry Wogan .","The BBC World Service also broadcast a version called "animal and vegetable" chaired by Michael Fllanders with a panel including Terry Wogan.","RD","Predicted Relationship: neutral with 50.47% confidence."
"The BBC World Service also broadcast a version called `` Animal , Vegetable and Mineral '' , chaired by Michael Flanders with a panel including Terry Wogan .","The BBC World Service also broadcast a version called "animal vegetable and mineral" chaired by Michael Fllanders along with a panel seen by Terry Wogan.","hypernym","Predicted Relationship: entailment with 69.51% confidence."
"The BBC World Service also broadcast a version called `` Animal , Vegetable and Mineral '' , chaired by Michael Flanders with a panel including Terry Wogan .","The BBC World Service also broadcast a version called "animal vegetable and mineral" chaired by Michael Fllanders with a panel including Terry Wogan.","polarity_negation","Predicted Relationship: entailment with 98.09% confidence."
"The BBC World Service also broadcast a version called `` Animal , Vegetable and Mineral '' , chaired by Michael Flanders with a panel including Terry Wogan .","The BBC also broadcast a version called "animal vegetable and mineral" chaired by Michael Flanders with a panel including Terry Wogan.","RS","Predicted Relationship: entailment with 97.49% confidence."
"The BBC World Service also broadcast a version called `` Animal , Vegetable and Mineral '' , chaired by Michael Flanders with a panel including Terry Wogan .","The BBC World Service also broadcast a version called "animal vegetable and mineral" chaired by Michael Fllanders along with a panel excluding Terry Wogan.","antonym","Predicted Relationship: contradiction with 89.77% confidence."
"Thompson 's younger brother , Julia , was born in 1863 in Charles Martin Hall , Geauga County , Ohio .","In 1863 Thompson was born a younger brother at Charles Martin Hall in Geauga County Ohio.","RD","Predicted Relationship: entailment with 46.97% confidence."
"Thompson 's younger brother , Julia , was born in 1863 in Charles Martin Hall , Geauga County , Ohio .","In 1863 Julia Thompson the younger brother was born at Charles Martin Hall in Geauga County Ohio.","hypernym","Predicted Relationship: entailment with 99.17% confidence."
"Thompson 's younger brother , Julia , was born in 1863 in Charles Martin Hall , Geauga County , Ohio .","In 1863 Julia Thompson was born a younger brother at Charles Martin Hall in Geauga County Ohio.","polarity_negation","Predicted Relationship: entailment with 97.46% confidence."
"Thompson 's younger brother , Julia , was born in 1863 in Charles Martin Hall , Geauga County , Ohio .","In 1863 Julia Thompson was born a young brother Geauga at Charles Martin Hall in More County Ohio.","RS","Predicted Relationship: contradiction with 90.58% confidence."
"Thompson 's younger brother , Julia , was born in 1863 in Charles Martin Hall , Geauga County , Ohio .","In 1863 Julia Thompson was born at Charles Martin Hall in Geauga County Ohio to a more aging brother.","antonym","Predicted Relationship: entailment with 91.92% confidence."
